Empresa;Situação;Dt. emissão;Dt. saída/entrada;Esp.;Nota fiscal;série;Cd. pessoa;Nome pessoa;CFOP;Vl. contábil;Aliq. ICMS;Vl. base ICMS;Vl. ICMS;Vl. isento ICMS;Vl. outro ICMS;Vl. IPI; Vl. ICMS ST;Vl. PIS;Vl. COFINS;Vl. FCP;Vl. FCP ST; Chave acesso
11;Emitida;23/12/2020;23/12/2020;NFe;5242;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;589037,1;0;0;0;0;589037,1;0;0;0;0;0;0;35201206209148000206550060000052421102575606
11;Emitida;13/10/2020;13/10/2020;NFe;3082;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;236,63;0;0;0;0;236,63;0;0;0;0;0;0;35201006209148000206550060000030821015876100
11;Emitida;08/10/2020;08/10/2020;NFe;3030;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;323,62;0;0;0;0;323,62;0;0;0;0;0;0;35201006209148000206550060000030301091450669
11;Emitida;02/10/2020;02/10/2020;NFe;2841;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;55698,93;0;0;0;0;55698,93;0;0;0;0;0;0;35201006209148000206550060000028411992813764
11;Emitida;02/10/2020;02/10/2020;NFe;2843;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;671,74;0;0;0;0;671,74;0;0;0;0;0;0;35201006209148000206550060000028431052286753
11;Emitida;02/10/2020;02/10/2020;NFe;2845;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;105,6;0;0;0;0;105,6;0;0;0;0;0;0;35201006209148000206550060000028451140525185
11;Emitida;07/10/2020;07/10/2020;NFe;2978;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;63,25;0;0;0;0;63,25;0;0;0;0;0;0;35201006209148000206550060000029781437162583
11;Emitida;23/10/2020;23/10/2020;NFe;3398;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;81,54;0;0;0;0;81,54;0;0;0;0;0;0;35201006209148000206550060000033981222968197
11;Emitida;13/10/2020;13/10/2020;NFe;3075;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;28,3;0;0;0;0;28,3;0;0;0;0;0;0;35201006209148000206550060000030751146057752
11;Emitida;13/10/2020;13/10/2020;NFe;3087;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;603,31;0;0;0;0;603,31;0;0;0;0;0;0;35201006209148000206550060000030871200495709
